Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Cartama,CA8-2012-8,11/08/2022 12:00:00 AM,Activo,Jurídica,Privada,Fredonia,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2017-24,12/06/2021 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-34,03/11/2016 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2016-18,10/04/2019 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2016-1,05/31/2016 12:00:00 AM,Activo,Jurídica,Privada,La Pintada,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2014-1,09/17/2015 12:00:00 AM,Archivado,Jurídica,Privada,Yolombó,Muro contención en concreto,Permanente
Panzenú,PZ8-2015-14,04/08/2016 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Puente,Permanente
Aburrá Sur,AS8-2008-5,08/26/2010 12:00:00 AM,Archivado,Jurídica,Privada,Titiribí,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2013-10,07/30/2014 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Canalización Triangular o en V,Permanente
Tahamíes,TH8-2007-2,04/24/2008 12:00:00 AM,Activo,Jurídica,Privada,Santa Rosa De Osos,Puente,Permanente
Cartama,CA8-2009-4,12/28/2011 12:00:00 AM,Archivado,Jurídica,Privada,Fredonia,Puente,Permanente
Citará,CI8-2018-27,07/24/2018 12:00:00 AM,Activo,Natural,-No aplica-,Hispania,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2014-68,07/08/2016 12:00:00 AM,Activo,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-103,04/26/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Secretaría Ambiental De Envigado,SAE8-2016-12,09/19/2016 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Canalización Trapezoidal,Permanente
Aburrá Sur,AS8-2010-18,08/23/2011 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2018-138,07/19/2019 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2017-78,01/05/2018 12:00:00 AM,Archivado,Jurídica,Pública,La Estrella,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2008-23,09/10/2019 12:00:00 AM,Archivado,Jurídica,Privada,Titiribí,Gaviones,Permanente
Zenufaná,ZF8-2017-105,12/29/2022 12:00:00 AM,Archivado,Jurídica,Pública,Maceo,Cobertura en Cajón,Provisional
Zenufaná,ZF8-2012-7,10/31/2018 12:00:00 AM,Archivado,Natural,-No aplica-,Vegachí,Muro contención en concreto,Permanente
